English;Dutch;Example1;Example2
fact;feit;example 1 sentence;sentence example2
to wish;wensen;;
demand;eis;;
influence;invloed;;
fixed;vast;;
region;streek;;
leadership;leiding;;
hall;zaal;;
advice;raad;;
early;vroeg;;
son;zoon;;
thin;dun;;
thick - fat;dik;;
taste;smaak;;
smell;geur;;
busy;bezig;;
busy;druk;;
coast;kust;;
bottom;bodem;;
tear;traan;;
to keep;houden;;
realize;realizeren;;
voice;stem;;
such as;zolas;;
cultural;cultureel;;
side;kant;;
track;spoor;;
wide;breed;;
narrow - small;smal;;
relatively;relatief;;
there;er;;
piece;stuk;;
loose;los;;
sweet;lief;;
sweet[taste];zoet;;
salty;zout;;
sour ;zuur;;
spicy;pittig;;
beach;strand;;
own;eigen;;
gladly;graag;;
to spread;verspreiden;;
to gather;verzamelen;;
to start;beginnen;;
to end;eindigen;;
to continue;verdergaan;;
further;verder;;
far;ver;;
to produce;produceren;;
mistake;fout;;
only;pas;;
laugh;lachen;;
leader;leider;;
member;lid;;
weak;zwak;;
strong;sterk;;
power, strength;kracht;;
power;macht;;
pressure;druk;;
heavy;zwaar;;
light [weight];licht;;
coarage;moed;;
to forbid;verbieden;;
to allow;toelaten;;
field;veld;;
soon;gauw;;
early;vroeg;;
late;laat;;
guest;gast;;
some;sommige;;
sometimes;soms;;
to bring;brengen;;
;krijgen;;
stomach;buik;;
back;rug;;
back [again];terug;;
backward;achteruit;;
forward;vooruit;;
at;bij;;
stupid;dom;;
crazy;gek;;
lacking [missing];ontbreken;;
sand;zand;;
possible;mogelijk;;
easy;gemakkelijk;;
difficult;moeilijk;;
yet;nog;;
western;westers;;
eastern;oostelijk;;
member;lid;;
sick;ziek;;
turn;beurt;;
until;tot;;
sheet;blad;;
sheet;laken;;
century;eeuw;;
to publish;publiceren;;
hat;hoed;;
mean;menen;;
again;opnieuw;;
floor;vloer;;
to send;zenden / verzenden;;
to send;sturen / versturen;;
to share;delen;;
to save;sparen;;
to save/to keep;bewaren;;
cloud;wolk;;
warmth;warmte;;
chest;borst;;
cool;koel;;
battle;slag;;
however;toch;;
ever;ooit;;
never;nooit;;
still;nog, tog;;
blow;klap;;
life;leven;;
border;grens;;
pattern;patroon;;
deep;diep;;
flow;stroom;;
press;pers;;
client;klant;;
rongue;tong;;
profit;winst;;
corner;hoek;;
along;langs;;
good looking;knap;;
source;bron;;
opportunity;kans;;
punishment;straf;;
dead;dood;;
flat;vlak;;
statue;beeld;;
pain;pijn;;
floor;vloer;;
neighborhood;buurt;;
to dream;dromen;;
bow;boog;;
spacious;ruim;;
Feeling;gevoel;;
Happy;Blij;;
For a bit, For a while;even;;
a while;een poos;;
vision;visie;;
even;zelfs;?;
stretch;strekken;;
personality;persoonlijkheid;;
personally;persoonlijk;;
throat;keel;;
each;elk;;
hole;gat;;
wish;wens;;
mean;gemeen;;
farmer;boer;;
reason;reden;;
law;wet;;
mathematics;wiskunde;;
wave;golf;;
wide;wijd;;
to grow;groeien;;
grow;groei;;
body;lichaam;;
a couple;een paar;;
fear;angst;;
